stock_id,name,eps_Y,eps_ttm,per_Y,per_ttm,rev,rev_mom,rev_qoq,rev_yoy,gross_margin,gross_margin_qoq,gross_margin_yoy_diff,operating_margin,operating_margin_qoq,operating_margin_yoy_diff,net_margin,net_margin_qoq,net_margin_yoy_diff,per_latest,per_90d_high,per_90d_low,pbr_latest,pbr_90d_high,pbr_90d_low,static_updated_at,static_status,static_reason
1101,台泥,-1.61,,,,124.13,44.44,-12.71,-8.97,18.49,-4.15,-4.8,3.76,-9.4,-7.12,-3.9,26.27,-14.63,0.0,0.0,0.0,0.81,0.91,0.75,2026-04-24 23:41:29,ok,
1216,統一,3.46,,0.29,,573.79,11.34,9.69,2.58,31.73,-1.78,0.12,2.59,-3.35,-0.6,3.15,-2.08,-0.25,20.72,23.13,20.14,2.99,3.58,2.91,2026-04-24 23:41:35,ok,
1319,東陽,6.43,,0.16,,20.45,42.56,-2.29,-19.85,33.68,5.68,-0.83,18.07,6.62,-1.23,19.15,6.75,0.38,11.7,17.61,11.7,1.58,2.55,1.58,2026-04-24 23:41:37,ok,
1532,勤美,0.99,,1.01,,12.37,27.09,21.56,14.11,24.21,-0.34,1.5,5.05,-7.83,5.48,3.64,-6.5,9.37,21.31,93.67,21.31,0.58,0.8,0.58,2026-04-24 23:41:39,ok,
2317,鴻海,13.6,,0.07,,8037.38,34.9,-6.85,45.57,5.88,-0.47,-0.27,3.28,-0.15,0.25,2.06,-1.15,-0.4,16.33,18.07,13.83,1.74,2.1,1.48,2026-04-24 23:41:41,ok,
2330,台積電,66.26,,0.02,,4151.92,30.7,23.94,45.19,62.33,2.88,3.33,54.0,3.42,4.98,48.31,2.67,5.19,32.99,32.99,23.37,10.46,10.46,7.42,2026-04-24 23:41:43,ok,
2404,漢唐,48.08,,0.02,,76.93,17.07,5.68,100.58,17.19,-2.99,-3.48,13.88,-2.76,-2.98,12.87,-2.99,-3.1,20.57,25.83,17.07,10.01,13.85,8.31,2026-04-24 23:41:45,ok,
2881,富邦金,8.37,,0.12,,132.38,-54.93,-68.96,-57.44,,,,,,,,,,11.33,12.45,11.05,1.39,1.59,1.37,2026-04-24 23:41:48,ok,
2885,元大金,2.74,,0.36,,124.21,-6.72,-0.88,22.15,,,,,,,,,,18.23,18.69,14.02,1.96,2.0,1.51,2026-04-24 23:41:50,ok,
2891,中信金,4.08,,0.25,,130.95,-37.37,-42.68,-31.27,,,,,,,,,,13.23,15.19,12.05,2.06,2.29,1.82,2026-04-24 23:41:52,ok,
4749,新應材,11.32,,0.09,,4.33,-2.87,20.09,32.67,44.02,1.75,5.99,23.34,-0.98,8.04,24.17,-3.04,5.26,86.5,98.54,70.43,9.83,10.59,7.95,2026-04-24 23:41:54,ok,
4772,台特化,4.21,,0.24,,2.8,-3.22,-11.42,289.69,48.92,-5.24,-9.23,38.48,-4.17,-8.21,32.51,-3.76,-18.4,72.74,105.32,65.48,12.13,16.63,10.92,2026-04-24 23:41:56,ok,
5871,中租-KY,11.24,,0.09,,84.15,12.15,2.08,-2.86,65.76,0.07,-0.25,29.24,2.43,6.62,20.9,1.16,3.45,11.42,11.42,9.54,1.24,1.24,1.04,2026-04-24 23:41:59,ok,
7728,光焱科技,4.95,,0.2,,0.32,-2.25,-38.75,-18.5,70.34,4.68,2.98,34.34,29.72,7.77,32.41,18.3,11.06,143.29,276.0,128.15,12.97,17.49,8.12,2026-04-24 23:42:01,ok,
